"Year","asfis_code","n","mean_fat","lower_quant","median_fat","upper_quant","sd"
2007,"YFT",191,1.80988530890052,1.50625,1.7125,1.986607,0.456124071917377
2008,"YFT",264,1.88890015530303,1.5,1.7535715,2.1375,0.552630677221408
2009,"YFT",197,1.6226522893401,1.2875,1.5125,1.8625,0.472355862415465
2011,"YFT",44,1.70852272727273,1.40223225,1.68125,1.940625,0.462810563715108
2012,"YFT",64,1.911495546875,1.46607175,1.8,2.065625,0.801519284588643
2013,"YFT",57,2.15823929824561,1.428571,1.8125,2.6125,0.976954884103223
2019,"YFT",9,2.11111111111111,1.7,2.1,2.6,0.568868272195867
2020,"YFT",53,1.85849056603774,1.3,1.6,1.9,1.00468785092381
