MR,SPC,Name,X,Y
Feck,Fock,wcpfc,141,-43.81452721
Feck,Fock,wcpfc,141,-55
Feck,Fock,wcpfc,150,-55
Feck,Fock,wcpfc,150,-60
Feck,Fock,wcpfc,230,-60
Feck,Fock,wcpfc,230,-4
Feck,Fock,wcpfc,210,-4
Feck,Fock,wcpfc,210,60
Feck,Fock,wcpfc,210,60
